airport,Clothing & Accessories,Containers,Cosmetics,Electronics,Food & Drink,Household Items,Other,Outdoors Supplies,Supplies,Tools & Machines,Watches & Jewelry
CLT,200,94,129,308,37,10,257,33,5,56,227
CMH,88,23,62,118,4,8,121,10,9,31,68
CMI,3,0,4,12,0,0,1,1,0,1,5
CMX,1,0,1,1,0,0,1,0,0,0,4
COD,0,0,2,4,0,0,1,0,0,0,2
COS,98,19,44,97,3,2,106,12,14,59,56
COU,5,0,5,2,0,0,3,1,0,2,5
CPR,8,1,3,11,1,1,8,0,1,2,6
CRP,15,2,10,27,1,2,26,4,0,5,24
CRQ,0,0,0,2,0,0,5,0,0,0,2
CRW,8,4,6,8,0,0,9,0,2,3,7
CSG,8,0,2,3,0,0,4,1,0,1,2
CVG,107,25,59,119,6,3,199,19,7,38,68
CWA,4,0,11,0,0,1,7,1,1,5,4
CYS,6,0,3,4,0,1,0,0,0,0,0
DAB,10,3,3,12,2,1,26,1,0,8,8
DAL,68,12,49,70,4,2,95,8,5,21,61
DAY,37,15,27,36,1,1,43,7,4,8,23
DBQ,2,1,1,1,0,0,2,0,0,3,2
DCA,182,55,100,298,10,11,228,33,9,64,165
DDC,0,0,0,0,0,0,0,0,0,1,0
DEC,1,0,0,0,0,0,2,0,0,0,2
DEN,448,110,235,560,18,17,615,154,20,151,317
DFW,514,111,294,697,53,26,656,81,33,170,430
DHN,7,0,3,3,0,0,2,4,0,1,0
DIK,1,0,0,1,0,0,0,0,0,0,1
DLG,0,0,0,0,0,0,2,1,0,0,0
DLH,12,4,5,6,0,0,17,3,1,8,7
DRO,4,0,0,6,1,0,3,0,0,1,3
DRT,1,0,0,0,0,0,2,0,0,0,0
DSM,34,5,13,48,2,0,49,4,3,15,15
DTW,330,84,154,387,14,5,550,51,19,121,253
DUJ,2,0,0,0,0,0,0,0,0,0,0
DUT,0,1,0,2,0,0,1,0,0,0,0
DVL,0,0,0,0,0,0,0,1,0,0,0
EAR,0,0,0,3,0,0,0,1,0,0,0
EAT,5,4,2,6,0,0,4,3,0,2,5
EAU,1,1,1,0,0,0,1,0,1,1,4
ECP,9,0,1,2,0,0,6,3,1,0,3
EGE,19,3,7,22,3,0,10,2,0,11,8
EKO,1,0,0,0,1,0,2,1,0,0,0
ELM,7,2,5,12,1,0,8,1,0,4,0
ELP,83,11,42,64,4,4,109,7,1,17,54
ENA,0,0,0,0,0,0,3,2,0,1,0
ENV,1,0,0,0,1,0,4,1,0,1,3
ERI,11,3,4,6,0,0,14,0,2,7,13
ESC,0,0,0,1,0,0,0,0,0,0,0
